opt_sol,opt_cost,adj_matrix,max_cost,size,avg_cost_new_method_p_layer_circuit_64,avg_gap_new_method_p_layer_circuit_64,avg_opt_reached_new_method_p_layer_circuit_64,avg_proba_new_method_p_layer_circuit_64,avg_cost_new_method_censored_circuit_64,avg_gap_new_method_censored_circuit_64,avg_opt_reached_new_method_censored_circuit_64,avg_proba_new_method_censored_circuit_64
"[0, 3, 5, 2, 6, 1, 4, 7]",161,"[[0, 29, 45, 18, 24, 20, 52, 28], [29, 0, 24, 23, 4, 23, 24, 29], [45, 24, 0, 29, 26, 27, 32, 53], [18, 23, 29, 0, 20, 2, 46, 39], [24, 4, 26, 20, 0, 21, 28, 26], [20, 23, 27, 2, 21, 0, 46, 41], [52, 24, 32, 46, 28, 46, 0, 42], [28, 29, 53, 39, 26, 41, 42, 0]]",477,8,161.0,0.0,1.0,100.0,161.0,0.0,1.0,100.0
"[0, 1, 6, 2, 5, 4, 3, 7]",119,"[[0, 5, 24, 25, 27, 40, 11, 15], [5, 0, 26, 30, 32, 44, 9, 20], [24, 26, 0, 37, 31, 27, 20, 28], [25, 30, 37, 0, 10, 32, 36, 11], [27, 32, 31, 10, 0, 22, 35, 13], [40, 44, 27, 32, 22, 0, 43, 32], [11, 9, 20, 36, 35, 43, 0, 25], [15, 20, 28, 11, 13, 32, 25, 0]]",396,8,137.0,15.126050420168056,0.0,100.0,167.0,40.33613445378151,0.0,56.00000000000001
"[0, 1, 2, 4, 7, 3, 6, 5]",141,"[[0, 19, 31, 21, 42, 18, 37, 32], [19, 0, 15, 27, 30, 28, 49, 24], [31, 15, 0, 27, 15, 30, 50, 13], [21, 27, 27, 0, 30, 5, 23, 19], [42, 30, 15, 30, 0, 35, 49, 11], [18, 28, 30, 5, 35, 0, 21, 24], [37, 49, 50, 23, 49, 21, 0, 39], [32, 24, 13, 19, 11, 24, 39, 0]]",450,8,180.0,27.65957446808511,0.0,50.0,166.0,17.7304964539007,0.0,94.0
"[0, 1, 2, 4, 3, 6, 5, 7]",146,"[[0, 42, 34, 45, 42, 13, 26, 5], [42, 0, 24, 48, 36, 33, 36, 47], [34, 24, 0, 24, 13, 21, 14, 38], [45, 48, 24, 0, 13, 33, 19, 47], [42, 36, 13, 13, 0, 29, 17, 45], [13, 33, 21, 33, 29, 0, 13, 17], [26, 36, 14, 19, 17, 13, 0, 28], [5, 47, 38, 47, 45, 17, 28, 0]]",432,8,146.0,0.0,1.0,100.0,146.0,0.0,1.0,96.0
"[0, 2, 1, 3, 6, 5, 7, 4]",149,"[[0, 21, 26, 19, 33, 47, 30, 48], [21, 0, 5, 6, 38, 40, 27, 52], [26, 5, 0, 12, 43, 43, 32, 57], [19, 6, 12, 0, 31, 34, 20, 46], [33, 38, 43, 31, 0, 24, 13, 15], [47, 40, 43, 34, 24, 0, 17, 27], [30, 27, 32, 20, 13, 17, 0, 26], [48, 52, 57, 46, 15, 27, 26, 0]]",513,8,149.0,0.0,1.0,56.00000000000001,149.0,0.0,1.0,96.0
"[0, 1, 2, 3, 6, 4, 7, 5]",119,"[[0, 12, 14, 26, 40, 8, 31, 29], [12, 0, 6, 14, 34, 19, 22, 29], [14, 6, 0, 15, 28, 20, 17, 24], [26, 14, 15, 0, 33, 33, 18, 37], [40, 34, 28, 33, 0, 40, 14, 20], [8, 19, 20, 33, 40, 0, 35, 26], [31, 22, 17, 18, 14, 35, 0, 25], [29, 29, 24, 37, 20, 26, 25, 0]]",360,8,119.0,0.0,1.0,100.0,136.0,14.285714285714278,0.0,98.0
"[0, 2, 5, 6, 3, 4, 1, 7]",128,"[[0, 26, 16, 42, 27, 38, 42, 8], [26, 0, 42, 27, 4, 29, 28, 23], [16, 42, 0, 52, 41, 45, 51, 23], [42, 27, 52, 0, 23, 9, 2, 44], [27, 4, 41, 23, 0, 24, 23, 25], [38, 29, 45, 9, 24, 0, 7, 41], [42, 28, 51, 2, 23, 7, 0, 43], [8, 23, 23, 44, 25, 41, 43, 0]]",468,8,152.0,18.75,0.0,48.0,130.0,1.5625,0.0,100.0
"[0, 1, 4, 5, 6, 2, 3, 7]",121,"[[0, 6, 27, 26, 17, 26, 32, 10], [6, 0, 28, 28, 11, 20, 28, 17], [27, 28, 0, 4, 38, 44, 22, 29], [26, 28, 4, 0, 38, 45, 25, 26], [17, 11, 38, 38, 0, 9, 31, 26], [26, 20, 44, 45, 9, 0, 33, 36], [32, 28, 22, 25, 31, 33, 0, 39], [10, 17, 29, 26, 26, 36, 39, 0]]",405,8,134.0,10.743801652892571,0.0,100.0,146.0,20.661157024793383,0.0,100.0
"[0, 4, 1, 3, 2, 6, 7, 5]",135,"[[0, 33, 33, 47, 1, 18, 46, 30], [33, 0, 8, 16, 32, 23, 26, 17], [33, 8, 0, 22, 32, 19, 18, 9], [47, 16, 22, 0, 46, 39, 36, 32], [1, 32, 32, 46, 0, 18, 46, 30], [18, 23, 19, 39, 18, 0, 28, 13], [46, 26, 18, 36, 46, 28, 0, 15], [30, 17, 9, 32, 30, 13, 15, 0]]",423,8,141.0,4.444444444444457,0.0,90.0,143.0,5.925925925925938,0.0,96.0
"[0, 1, 3, 6, 4, 2, 7, 5]",121,"[[0, 5, 40, 10, 28, 12, 18, 41], [5, 0, 34, 5, 22, 14, 13, 36], [40, 34, 0, 29, 15, 45, 25, 25], [10, 5, 29, 0, 18, 18, 10, 33], [28, 22, 15, 18, 0, 31, 10, 17], [12, 14, 45, 18, 31, 0, 20, 39], [18, 13, 25, 10, 10, 20, 0, 23], [41, 36, 25, 33, 17, 39, 23, 0]]",405,8,126.0,4.132231404958688,0.0,100.0,138.0,14.049586776859499,0.0,100.0
