opt_sol,opt_cost,adj_matrix,max_cost,size,avg_cost_new_method_p_layer_circuit_384,avg_gap_new_method_p_layer_circuit_384,avg_opt_reached_new_method_p_layer_circuit_384,avg_proba_new_method_p_layer_circuit_384,avg_cost_new_method_censored_circuit_384,avg_gap_new_method_censored_circuit_384,avg_opt_reached_new_method_censored_circuit_384,avg_proba_new_method_censored_circuit_384
"[0, 5, 3, 1, 2, 4, 7, 6]",121,"[[0, 20, 19, 12, 28, 3, 28, 43], [20, 0, 16, 8, 19, 20, 34, 31], [19, 16, 0, 16, 8, 22, 18, 23], [12, 8, 16, 0, 21, 12, 31, 36], [28, 19, 8, 21, 0, 30, 22, 14], [3, 20, 22, 12, 30, 0, 31, 45], [28, 34, 18, 31, 22, 31, 0, 32], [43, 31, 23, 36, 14, 45, 32, 0]]",405,8,136.0,12.396694214876035,0.0,72.0,134.0,10.743801652892571,0.0,100.0
"[0, 3, 2, 1, 7, 6, 5, 4]",128,"[[0, 11, 24, 32, 10, 5, 17, 25], [11, 0, 14, 24, 20, 14, 23, 25], [24, 14, 0, 10, 32, 28, 37, 37], [32, 24, 10, 0, 38, 37, 47, 47], [10, 20, 32, 38, 0, 10, 21, 33], [5, 14, 28, 37, 10, 0, 12, 22], [17, 23, 37, 47, 21, 12, 0, 15], [25, 25, 37, 47, 33, 22, 15, 0]]",423,8,129.0,0.78125,0.0,38.0,134.0,4.6875,0.0,100.0
"[0, 6, 1, 3, 5, 2, 4, 7]",119,"[[0, 38, 40, 33, 32, 31, 17, 30], [38, 0, 28, 22, 32, 23, 26, 34], [40, 28, 0, 8, 10, 9, 40, 13], [33, 22, 8, 0, 10, 2, 32, 12], [32, 32, 10, 10, 0, 9, 37, 3], [31, 23, 9, 2, 9, 0, 31, 11], [17, 26, 40, 32, 37, 31, 0, 36], [30, 34, 13, 12, 3, 11, 36, 0]]",360,8,134.0,12.60504201680672,0.0,100.0,127.0,6.722689075630257,0.0,46.0
"[0, 2, 6, 7, 1, 5, 3, 4]",141,"[[0, 13, 20, 29, 16, 47, 21, 22], [13, 0, 18, 29, 24, 42, 15, 12], [20, 18, 0, 47, 36, 60, 7, 14], [29, 29, 47, 0, 17, 20, 44, 41], [16, 24, 36, 17, 0, 37, 37, 35], [47, 42, 60, 20, 37, 0, 56, 51], [21, 15, 7, 44, 37, 56, 0, 7], [22, 12, 14, 41, 35, 51, 7, 0]]",540,8,148.0,4.964539007092199,0.0,66.0,168.0,19.148936170212764,0.0,100.0
"[0, 6, 3, 2, 5, 4, 1, 7]",134,"[[0, 31, 50, 30, 31, 41, 33, 14], [31, 0, 33, 27, 10, 23, 40, 19], [50, 33, 0, 21, 23, 10, 31, 36], [30, 27, 21, 0, 17, 16, 14, 19], [31, 10, 23, 17, 0, 13, 31, 17], [41, 23, 10, 16, 13, 0, 29, 27], [33, 40, 31, 14, 31, 29, 0, 27], [14, 19, 36, 19, 17, 27, 27, 0]]",450,8,134.0,0.0,1.0,100.0,161.0,20.149253731343293,0.0,90.0
"[0, 1, 7, 3, 6, 5, 4, 2]",125,"[[0, 8, 5, 27, 15, 36, 29, 33], [8, 0, 12, 19, 17, 38, 22, 25], [5, 12, 0, 29, 11, 31, 31, 37], [27, 19, 29, 0, 27, 43, 6, 10], [15, 17, 11, 27, 0, 21, 27, 37], [36, 38, 31, 43, 21, 0, 39, 53], [29, 22, 31, 6, 27, 39, 0, 14], [33, 25, 37, 10, 37, 53, 14, 0]]",477,8,134.0,7.200000000000003,0.0,100.0,127.0,1.5999999999999943,0.0,100.0
"[0, 6, 3, 4, 2, 5, 1, 7]",130,"[[0, 27, 43, 28, 28, 50, 7, 13], [27, 0, 16, 18, 11, 23, 34, 17], [43, 16, 0, 26, 19, 13, 50, 33], [28, 18, 26, 0, 7, 38, 31, 25], [28, 11, 19, 7, 0, 31, 34, 23], [50, 23, 13, 38, 31, 0, 57, 38], [7, 34, 50, 31, 34, 57, 0, 20], [13, 17, 33, 25, 23, 38, 20, 0]]",513,8,140.0,7.692307692307693,0.0,98.0,162.0,24.615384615384613,0.0,100.0
"[0, 3, 4, 6, 1, 5, 2, 7]",138,"[[0, 47, 48, 17, 24, 40, 34, 29], [47, 0, 43, 30, 23, 21, 13, 45], [48, 43, 0, 39, 40, 21, 36, 20], [17, 30, 39, 0, 7, 25, 17, 27], [24, 23, 40, 7, 0, 23, 10, 31], [40, 21, 21, 25, 23, 0, 15, 26], [34, 13, 36, 17, 10, 15, 0, 33], [29, 45, 20, 27, 31, 26, 33, 0]]",432,8,163.0,18.1159420289855,0.0,100.0,152.0,10.14492753623189,0.0,100.0
"[0, 2, 6, 3, 7, 4, 1, 5]",111,"[[0, 27, 34, 33, 30, 8, 22, 30], [27, 0, 40, 14, 4, 19, 16, 7], [34, 40, 0, 31, 38, 35, 23, 35], [33, 14, 31, 0, 11, 26, 12, 7], [30, 4, 38, 11, 0, 22, 15, 4], [8, 19, 35, 26, 22, 0, 17, 22], [22, 16, 23, 12, 15, 17, 0, 12], [30, 7, 35, 7, 4, 22, 12, 0]]",360,8,118.0,6.306306306306311,0.0,100.0,118.0,6.306306306306311,0.0,98.0
"[0, 2, 5, 6, 3, 7, 1, 4]",135,"[[0, 42, 13, 29, 5, 13, 34, 28], [42, 0, 54, 16, 38, 54, 42, 15], [13, 54, 0, 40, 19, 0, 35, 39], [29, 16, 40, 0, 27, 40, 27, 2], [5, 38, 19, 27, 0, 19, 36, 25], [13, 54, 0, 40, 19, 0, 35, 39], [34, 42, 35, 27, 36, 35, 0, 29], [28, 15, 39, 2, 25, 39, 29, 0]]",486,8,152.0,12.592592592592595,0.0,100.0,151.0,11.851851851851848,0.0,100.0
