opt_sol,opt_cost,adj_matrix,max_cost,size,avg_cost_new_method_p_layer_circuit_720,avg_gap_new_method_p_layer_circuit_720,avg_opt_reached_new_method_p_layer_circuit_720,avg_proba_new_method_p_layer_circuit_720,avg_cost_new_method_censored_circuit_720,avg_gap_new_method_censored_circuit_720,avg_opt_reached_new_method_censored_circuit_720,avg_proba_new_method_censored_circuit_720
"[0, 2, 7, 1, 5, 6, 4, 3]",126,"[[0, 27, 26, 15, 19, 24, 29, 32], [27, 0, 45, 12, 9, 5, 12, 36], [26, 45, 0, 36, 39, 43, 51, 20], [15, 12, 36, 0, 3, 8, 15, 33], [19, 9, 39, 3, 0, 5, 12, 35], [24, 5, 43, 8, 5, 0, 9, 38], [29, 12, 51, 15, 12, 9, 0, 47], [32, 36, 20, 33, 35, 38, 47, 0]]",459,8,144.0,14.285714285714278,0.0,68.0,134.0,6.349206349206355,0.0,64.0
"[0, 2, 5, 7, 4, 1, 6, 3]",125,"[[0, 48, 9, 19, 40, 12, 38, 27], [48, 0, 48, 30, 30, 42, 11, 26], [9, 48, 0, 17, 33, 6, 37, 23], [19, 30, 17, 0, 21, 11, 19, 8], [40, 30, 33, 21, 0, 28, 21, 14], [12, 42, 6, 11, 28, 0, 31, 17], [38, 11, 37, 19, 21, 31, 0, 15], [27, 26, 23, 8, 14, 17, 15, 0]]",432,8,127.0,1.5999999999999943,0.0,82.0,128.0,2.4000000000000057,0.0,96.0
"[0, 5, 4, 1, 7, 2, 3, 6]",160,"[[0, 24, 29, 34, 12, 2, 19, 35], [24, 0, 39, 53, 14, 24, 38, 34], [29, 39, 0, 18, 27, 27, 46, 16], [34, 53, 18, 0, 38, 33, 46, 34], [12, 14, 27, 38, 0, 11, 30, 27], [2, 24, 27, 33, 11, 0, 21, 33], [19, 38, 46, 46, 30, 21, 0, 54], [35, 34, 16, 34, 27, 33, 54, 0]]",486,8,168.0,5.0,0.0,92.0,172.0,7.5,0.0,100.0
"[0, 3, 6, 5, 1, 4, 2, 7]",155,"[[0, 44, 51, 3, 32, 27, 17, 13], [44, 0, 38, 45, 20, 24, 34, 50], [51, 38, 0, 54, 23, 50, 54, 46], [3, 45, 54, 0, 34, 26, 15, 16], [32, 20, 23, 34, 0, 27, 31, 33], [27, 24, 50, 26, 27, 0, 11, 37], [17, 34, 54, 15, 31, 11, 0, 29], [13, 50, 46, 16, 33, 37, 29, 0]]",486,8,155.0,0.0,1.0,94.0,160.0,3.225806451612897,0.0,100.0
"[0, 2, 5, 6, 4, 1, 3, 7]",142,"[[0, 32, 4, 31, 25, 14, 41, 26], [32, 0, 35, 2, 7, 39, 41, 21], [4, 35, 0, 34, 28, 15, 44, 28], [31, 2, 34, 0, 6, 39, 43, 19], [25, 7, 28, 6, 0, 32, 38, 19], [14, 39, 15, 39, 32, 0, 31, 40], [41, 41, 44, 43, 38, 31, 0, 56], [26, 21, 28, 19, 19, 40, 56, 0]]",504,8,145.0,2.1126760563380316,0.0,72.0,144.0,1.408450704225345,0.0,100.0
"[0, 5, 4, 3, 2, 7, 1, 6]",129,"[[0, 34, 48, 46, 41, 32, 4, 46], [34, 0, 15, 12, 24, 16, 31, 12], [48, 15, 0, 15, 36, 30, 44, 3], [46, 12, 15, 0, 22, 19, 43, 12], [41, 24, 36, 22, 0, 10, 39, 33], [32, 16, 30, 19, 10, 0, 30, 27], [4, 31, 44, 43, 39, 30, 0, 42], [46, 12, 3, 12, 33, 27, 42, 0]]",432,8,157.0,21.705426356589143,0.0,64.0,140.0,8.52713178294573,0.0,90.0
"[0, 1, 7, 5, 3, 6, 4, 2]",142,"[[0, 11, 12, 10, 32, 31, 21, 30], [11, 0, 18, 18, 43, 26, 32, 23], [12, 18, 0, 21, 33, 43, 25, 41], [10, 18, 21, 0, 29, 28, 16, 30], [32, 43, 33, 29, 0, 56, 12, 59], [31, 26, 43, 28, 56, 0, 44, 7], [21, 32, 25, 16, 12, 44, 0, 46], [30, 23, 41, 30, 59, 7, 46, 0]]",531,8,142.0,0.0,1.0,100.0,148.0,4.225352112676049,0.0,84.0
"[0, 3, 4, 6, 2, 1, 5, 7]",89,"[[0, 24, 13, 10, 6, 14, 14, 6], [24, 0, 13, 33, 27, 12, 33, 18], [13, 13, 0, 23, 14, 10, 19, 7], [10, 33, 23, 0, 11, 22, 16, 16], [6, 27, 14, 11, 0, 19, 8, 9], [14, 12, 10, 22, 19, 0, 26, 10], [14, 33, 19, 16, 8, 26, 0, 16], [6, 18, 7, 16, 9, 10, 16, 0]]",297,8,89.0,0.0,1.0,100.0,91.0,2.247191011235955,0.0,100.0
"[0, 2, 5, 7, 1, 6, 4, 3]",93,"[[0, 30, 12, 9, 12, 25, 21, 35], [30, 0, 26, 31, 21, 15, 9, 15], [12, 26, 0, 20, 18, 16, 20, 26], [9, 31, 20, 0, 10, 31, 22, 40], [12, 21, 18, 10, 0, 24, 12, 31], [25, 15, 16, 31, 24, 0, 17, 10], [21, 9, 20, 22, 12, 17, 0, 21], [35, 15, 26, 40, 31, 10, 21, 0]]",360,8,106.0,13.97849462365592,0.0,98.0,93.0,0.0,1.0,100.0
"[0, 1, 2, 6, 3, 5, 7, 4]",130,"[[0, 19, 19, 30, 16, 45, 19, 31], [19, 0, 1, 17, 21, 31, 4, 24], [19, 1, 0, 16, 21, 31, 3, 25], [30, 17, 16, 0, 38, 41, 14, 40], [16, 21, 21, 38, 0, 35, 24, 18], [45, 31, 31, 41, 35, 0, 34, 18], [19, 4, 3, 14, 24, 34, 0, 28], [31, 24, 25, 40, 18, 18, 28, 0]]",405,8,136.0,4.615384615384627,0.0,82.0,137.0,5.384615384615387,0.0,100.0
